average rating,reviews count,location,location_code
4.2,345,"955 Ferry Blvd, Stratford, CT 06614",152
4.2,1562,"1752 Shore Pkwy, Brooklyn, NY 11214",153
3.9,188,"26676 Centerview Dr, Millsboro, DE 19966",154
4.1,134,"1320 Starling Dr, Richmond, VA 23229",155
4.0,258,"2577 S Hwy 27, Clermont, FL 34711",156
4.0,152,"200-C Mill Rd, Oaks, PA 19456",157
4.1,856,"825 Pelham Pkwy, Pelham, NY 10803",158
4.1,155,"75 Spring St, Southington, CT 06489",159
3.9,624,"900 Remsen Ave, Brooklyn, NY 11236",160
4.3,436,"66 Seyon St, Waltham, MA 02453",161
4.1,426,"131-07 40th Rd Ste. A100, Queens, NY 11354",162
4.0,402,"1781 Ritchie Station Ct, Capitol Heights, MD 20743",163
4.5,222,"200 Stone Hill Rd, Johnston, RI 02919",164
4.2,110,"1 Highland Commons W, Hudson, MA 01749",165
4.1,253,"2451 U.S. 1 South, North Brunswick Township, NJ 08902",166
4.0,179,"6102 Shops Way, Northborough, MA 01532",167
3.9,356,"711 Stewart Ave, Garden City, NY 11530",168
4.0,197,"3056 Sheridan Dr, Amherst, NY 14226",169
4.1,154,"106 Federal Rd, Brookfield, CT 06804",170
4.2,232,"5200 Red Tip Rd, Fayetteville, NC 28314",171
4.1,173,"175 Highland Ave #5817, Seekonk, MA 02771",172
4.4,433,"1419 Hershberger Rd NW, Roanoke, VA 24012",173
3.5,70,"200 John E Devine Dr, Manchester, NH 03101",174
4.2,553,"26996 US Hwy 19 N, Clearwater, FL 33761",175
4.5,98,"6100 St. Lawrence Centre, Massena, NY 13662",176
4.4,192,"1899 Cinema Dr, Olean, NY 14760",177
4.4,157,"756 NY-28, Oneonta, NY 13820",178
4.2,48,"173 E Main Rd, Middletown, RI 02842",179
4.3,54,"42 Colrain Rd, Greenfield, MA 01301",180
4.4,190,"186 NJ-31, Flemington, NJ 08822",181
4.2,198,"119 Laconia Rd, Tilton, NH 03276",182
3.9,97,"110 Mt Auburn Ave, Auburn, ME 04210",183
4.3,177,"8330 Lewiston Rd, Batavia, NY 14020",184
3.8,96,"607 Old Country Rd, Riverhead, NY 11901",185
4.5,122,"11 Plaza Dr, Auburn, NY 13021",186
4.3,143,"1280 E Main St, Torrington, CT 06790",187
4.3,155,"1589 Main St, Willimantic, CT 06226",188
4.1,106,"44950 Worth Ln, California, MD 20619",189
3.8,96,"20 Division St, Derby, CT 06418",190
4.2,165,"159 Pocono Commons Dr, Stroudsburg, PA 18360",191
4.1,107,"262 N Plainfield Rd, West Lebanon, NH 03784",192
3.9,127,"420 Attucks Ln, Hyannis, MA 02601",193
4.3,154,"28410 Marlboro Ave, Easton, MD 21601",194
3.9,92,"616 N West End Blvd, Quakertown, PA 18951",195
3.7,226,"6607 Wilson Blvd, Falls Church, VA 22044",196
4.3,93,"40 Graham Rd W, Ithaca, NY 14850",197
4.0,214,"200 Crown Colony Dr, Quincy, MA 02169",198
3.9,237,"2131 Kirkwood Hwy, Wilmington, DE 19805",199
4.2,97,"495 Hubbard Ave, Pittsfield, MA 01201",200
